genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['new orleans jazz'],0.775,0.302,0.925,99.515,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.54,0.254,0.473,183.916,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.732,0.209,0.696,140.423,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.618,0.141,0.759,138.691,0,0.0,0.0,Instrumental / Acoustic
['new orleans jazz'],0.579,0.295,0.767,176.628,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.595,0.191,0.338,83.579,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.729,0.277,0.746,155.109,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.54,0.323,0.698,196.428,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.593,0.191,0.318,83.735,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.725,0.355,0.917,99.223,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.593,0.343,0.769,172.958,2,0.0,,Happy / Dance
['new orleans jazz'],0.691,0.404,0.87,101.211,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.673,0.342,0.844,184.182,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.732,0.327,0.885,95.97,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.593,0.343,0.769,172.958,2,0.0,,Happy / Dance
['new orleans jazz'],0.595,0.191,0.338,83.579,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.668,0.151,0.609,122.072,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.615,0.354,0.936,175.154,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.56,0.286,0.725,170.478,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.816,0.111,0.564,133.454,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.664,0.175,0.539,121.919,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.728,0.355,0.919,99.269,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.696,0.463,0.825,97.808,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.628,0.267,0.839,157.093,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.769,0.35,0.73,100.933,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.716,0.173,0.645,98.769,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.669,0.321,0.598,164.499,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.615,0.364,0.894,182.964,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.552,0.354,0.904,202.05,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.581,0.137,0.361,109.719,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.727,0.347,0.868,106.336,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.644,0.123,0.787,189.67,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.581,0.137,0.361,109.721,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.731,0.327,0.884,95.973,0,0.0,0.0,Instrumental / Acoustic
['new orleans jazz'],0.794,0.431,0.927,107.707,1,0.0,,Mainstream / Party
['new orleans jazz'],0.668,0.342,0.849,183.842,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.568,0.156,0.8,186.689,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.696,0.464,0.825,97.808,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.559,0.286,0.725,170.76,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.574,0.308,0.739,146.726,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.795,0.292,0.729,128.495,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.686,0.127,0.592,156.359,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.573,0.306,0.738,146.726,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.552,0.354,0.904,201.978,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.733,0.209,0.7,140.38,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.65,0.297,0.871,99.257,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.713,0.207,0.47,83.828,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.615,0.354,0.935,175.153,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.717,0.322,0.687,97.95,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.633,0.388,0.539,114.687,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.796,0.344,0.889,94.343,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.704,0.518,0.961,102.646,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.805,0.311,0.697,117.439,2,0.0,,Happy / Dance
['new orleans jazz'],0.748,0.361,0.876,117.609,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.65,0.297,0.871,99.257,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.791,0.285,0.713,128.434,0,0.0,0.0,Instrumental / Acoustic
['new orleans jazz'],0.713,0.207,0.47,83.828,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.749,0.361,0.876,117.609,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.819,0.371,0.947,106.524,1,0.0,,Mainstream / Party
['new orleans jazz'],0.686,0.216,0.882,174.4,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.54,0.323,0.698,196.428,0,0.0,,Instrumental / Acoustic
